year,month,value
2003,янв,99.7
2003,фев,99.5
2003,мар,100.2
2003,апр,100.0
2003,май,100.0
2003,июн,100.4
2003,июл,100.5
2003,авг,100.1
2003,сен,100.4
2003,окт,109.8
2003,ноя,105.7
2003,дек,99.7
2004,янв,103.2
2004,фев,102.4
2004,мар,101.1
2004,апр,100.4
2004,май,100.3
2004,июн,100.0
2004,июл,100.2
2004,авг,100.0
2004,сен,100.2
2004,окт,100.1
2004,ноя,99.9
2004,дек,100.4
2005,янв,100.1
2005,фев,100.5
2005,мар,100.6
2005,апр,100.9
2005,май,100.1
2005,июн,100.1
2005,июл,100.3
2005,авг,98.9
2005,сен,100.6
2005,окт,101.0
2005,ноя,99.6
2005,дек,99.8
2006,янв,100.4
2006,фев,100.0
2006,мар,100.4
2006,апр,100.0
2006,май,100.0
2006,июн,100.9
2006,июл,100.1
2006,авг,100.2
2006,сен,100.3
2006,окт,100.1
2006,ноя,100.6
2006,дек,100.8
2007,янв,99.9
2007,фев,100.7
2007,мар,100.0
2007,апр,100.4
2007,май,100.4
2007,июн,100.6
2007,июл,102.9
2007,авг,114.6
2007,сен,113.4
2007,окт,132.0
2007,ноя,93.8
2007,дек,96.2
2008,янв,98.9
2008,фев,100.3
2008,мар,104.2
2008,апр,102.3
2008,май,107.2
2008,июн,108.7
2008,июл,100.4
2008,авг,100.3
2008,сен,99.0
2008,окт,98.7
2008,ноя,98.9
2008,дек,98.5
2009,янв,97.2
2009,фев,96.8
2009,мар,98.4
2009,апр,98.8
2009,май,100.0
2009,июн,100.2
2009,июл,98.3
2009,авг,98.6
2009,сен,98.2
2009,окт,98.8
2009,ноя,99.3
2009,дек,98.8
2010,янв,99.4
2010,фев,99.8
2010,мар,99.4
2010,апр,99.3
2010,май,99.7
2010,июн,100.4
2010,июл,102.6
2010,авг,109.6
2010,сен,106.4
2010,окт,101.9
2010,ноя,103.1
2010,дек,102.2
2011,янв,101.7
2011,фев,104.0
2011,мар,107.3
2011,апр,100.8
2011,май,99.1
2011,июн,99.3
2011,июл,99.7
2011,авг,99.0
2011,сен,95.8
2011,окт,97.0
2011,ноя,97.9
2011,дек,98.2
2012,янв,98.2
2012,фев,98.7
2012,мар,99.2
2012,апр,99.5
2012,май,99.0
2012,июн,99.3
2012,июл,102.0
2012,авг,107.7
2012,сен,100.7
2012,окт,104.4
2012,ноя,100.5
2012,дек,100.2
2013,янв,100.1
2013,фев,100.4
2013,мар,100.0
2013,апр,99.4
2013,май,99.5
2013,июн,99.4
2013,июл,99.3
2013,авг,100.4
2013,сен,100.7
2013,окт,99.8
2013,ноя,99.9
2013,дек,100.2
2014,янв,100.2
2014,фев,100.8
2014,мар,101.8
2014,апр,100.6
2014,май,101.1
2014,июн,100.7
2014,июл,100.9
2014,авг,100.5
2014,сен,100.4
2014,окт,100.8
2014,ноя,103.6
2014,дек,102.5
2015,янв,100.1
2015,фев,99.8
2015,мар,100.0
2015,апр,99.9
2015,май,100.1
2015,июн,99.7
2015,июл,100.0
2015,авг,100.1
2015,сен,100.0
2015,окт,99.9
2015,ноя,99.9
2015,дек,99.5
2016,янв,99.6
2016,фев,98.6
2016,мар,97.9
2016,апр,98.8
2016,май,99.2
2016,июн,99.1
2016,июл,99.5
2016,авг,99.5
2016,сен,100.0
2016,окт,99.8
2016,ноя,99.5
2016,дек,100.0
2017,янв,100.1
2017,фев,100.0
2017,мар,99.9
2017,апр,100.1
2017,май,99.6
2017,июн,99.7
2017,июл,99.8
2017,авг,99.8
2017,сен,100.0
2017,окт,99.9
2017,ноя,100.7
2017,дек,99.9
2018,янв,99.9
2018,фев,99.7
2018,мар,99.6
2018,апр,99.8
2018,май,99.8
2018,июн,100.1
2018,июл,100.1
2018,авг,99.8
2018,сен,99.8
2018,окт,100.0
2018,ноя,100.1
2018,дек,101.3
2019,янв,100.2
2019,фев,99.7
2019,мар,100.5
2019,апр,100.5
2019,май,100.2
2019,июн,100.1
2019,июл,100.3
2019,авг,100.4
2019,сен,100.2
2019,окт,101.9
2019,ноя,103.7
2019,дек,101.1
2020,янв,99.9
2020,фев,100.2
2020,мар,105.3
2020,апр,105.6
2020,май,98.5
2020,июн,100.0
2020,июл,100.5
2020,авг,100.1
2020,сен,99.9
2020,окт,100.3
2020,ноя,100.2
2020,дек,100.4
2021,янв,100.4
2021,фев,99.9
2021,мар,99.9
2021,апр,100.4
2021,май,100.1
2021,июн,100.4
2021,июл,101.2
2021,авг,101.0
2021,сен,100.3
2021,окт,101.2
2021,ноя,101.1
2021,дек,101.5
2022,янв,101.2
2022,фев,101.4
2022,мар,105.6
2022,апр,103.7
2022,май,102.1
2022,июн,102.4
2022,июл,102.0
2022,авг,100.9
2022,сен,100.5
2022,окт,100.8
2022,ноя,101.0
2022,дек,100.4
2023,янв,100.7
2023,фев,100.5
2023,мар,100.4
2023,апр,99.8
2023,май,100.3
2023,июн,101.0
2023,июл,100.6
2023,авг,100.5
2023,сен,101.2
2023,окт,102.8
2023,ноя,99.3
2023,дек,99.8
2024,янв,99.9
2024,фев,100.7
2024,мар,100.1
2024,апр,100.0
2024,май,100.1
2024,июн,99.9
2024,июл,100.3
2024,авг,100.3
2024,сен,100.1
2024,окт,100.1
2024,ноя,100.2
2024,дек,100.5
2025,янв,99.8
2025,фев,99.9
2025,мар,99.9
2025,апр,99.8
2025,май,101.3
2025,июн,100.6
2025,июл,100.8
2025,авг,100.5
2025,сен,100.1
2025,окт,100.3
