year,month,value
2003,янв,100.6
2003,фев,98.2
2003,мар,100.4
2003,апр,100.3
2003,май,99.5
2003,июн,99.4
2003,июл,100.1
2003,авг,100.0
2003,сен,100.0
2003,окт,99.3
2003,ноя,100.1
2003,дек,99.7
2004,янв,100.4
2004,фев,100.4
2004,мар,100.0
2004,апр,100.1
2004,май,99.9
2004,июн,100.3
2004,июл,99.8
2004,авг,99.8
2004,сен,100.1
2004,окт,100.7
2004,ноя,100.6
2004,дек,102.4
2005,янв,101.3
2005,фев,102.6
2005,мар,100.6
2005,апр,104.2
2005,май,100.4
2005,июн,100.0
2005,июл,99.7
2005,авг,99.5
2005,сен,100.3
2005,окт,98.8
2005,ноя,101.2
2005,дек,101.8
2006,янв,100.7
2006,фев,100.6
2006,мар,100.1
2006,апр,98.9
2006,май,100.7
2006,июн,100.3
2006,июл,97.0
2006,авг,99.2
2006,сен,100.6
2006,окт,100.6
2006,ноя,99.7
2006,дек,103.5
2007,янв,102.3
2007,фев,98.9
2007,мар,98.7
2007,апр,100.6
2007,май,103.5
2007,июн,101.9
2007,июл,100.6
2007,авг,99.9
2007,сен,101.2
2007,окт,102.2
2007,ноя,100.8
2007,дек,100.0
2008,янв,102.3
2008,фев,101.8
2008,мар,101.3
2008,апр,101.1
2008,май,100.4
2008,июн,100.9
2008,июл,99.2
2008,авг,99.1
2008,сен,100.9
2008,окт,101.5
2008,ноя,105.6
2008,дек,103.4
2009,янв,100.7
2009,фев,100.6
2009,мар,100.8
2009,апр,100.5
2009,май,100.3
2009,июн,99.3
2009,июл,98.8
2009,авг,99.7
2009,сен,99.1
2009,окт,100.4
2009,ноя,100.2
2009,дек,100.9
2010,янв,102.4
2010,фев,103.2
2010,мар,100.3
2010,апр,101.3
2010,май,100.1
2010,июн,100.1
2010,июл,102.5
2010,авг,101.6
2010,сен,100.1
2010,окт,101.6
2010,ноя,101.1
2010,дек,101.4
2011,янв,101.1
2011,фев,100.9
2011,мар,100.9
2011,апр,100.4
2011,май,99.7
2011,июн,100.8
2011,июл,100.6
2011,авг,100.1
2011,сен,100.4
2011,окт,103.4
2011,ноя,102.4
2011,дек,102.5
2012,янв,102.3
2012,фев,100.0
2012,мар,101.1
2012,апр,102.2
2012,май,100.8
2012,июн,99.7
2012,июл,101.4
2012,авг,101.5
2012,сен,102.8
2012,окт,104.8
2012,ноя,101.6
2012,дек,100.2
2013,янв,99.9
2013,фев,100.2
2013,мар,100.1
2013,апр,100.0
2013,май,100.1
2013,июн,99.4
2013,июл,98.3
2013,авг,100.0
2013,сен,99.3
2013,окт,100.4
2013,ноя,100.9
2013,дек,101.3
2014,янв,100.5
2014,фев,99.5
2014,мар,101.3
2014,апр,94.7
2014,май,99.9
2014,июн,101.6
2014,июл,97.7
2014,авг,100.2
2014,сен,100.4
2014,окт,100.6
2014,ноя,100.2
2014,дек,101.6
2015,янв,101.2
2015,фев,100.8
2015,мар,99.4
2015,апр,99.6
2015,май,100.4
2015,июн,99.8
2015,июл,100.7
2015,авг,101.0
2015,сен,100.5
2015,окт,99.8
2015,ноя,100.0
2015,дек,98.7
2016,янв,103.7
2016,фев,100.9
2016,мар,98.7
2016,апр,98.4
2016,май,100.3
2016,июн,100.2
2016,июл,100.5
2016,авг,100.1
2016,сен,98.5
2016,окт,98.5
2016,ноя,100.5
2016,дек,101.3
2017,янв,97.1
2017,фев,98.5
2017,мар,102.8
2017,апр,103.4
2017,май,99.3
2017,июн,99.0
2017,июл,100.6
2017,авг,99.8
2017,сен,100.0
2017,окт,100.5
2017,ноя,98.0
2017,дек,99.0
2018,янв,101.8
2018,фев,96.3
2018,мар,99.0
2018,апр,100.6
2018,май,102.6
2018,июн,100.0
2018,июл,100.2
2018,авг,99.7
2018,сен,100.7
2018,окт,100.0
2018,ноя,100.4
2018,дек,100.1
2019,янв,99.7
2019,фев,100.1
2019,мар,100.0
2019,апр,100.2
2019,май,100.6
2019,июн,100.0
2019,июл,100.3
2019,авг,100.3
2019,сен,100.3
2019,окт,102.1
2019,ноя,104.2
2019,дек,101.8
2020,янв,99.8
2020,фев,100.8
2020,мар,100.1
2020,апр,100.7
2020,май,100.3
2020,июн,99.9
2020,июл,99.9
2020,авг,100.0
2020,сен,99.8
2020,окт,100.1
2020,ноя,100.3
2020,дек,100.9
2021,янв,100.5
2021,фев,100.5
2021,мар,100.6
2021,апр,101.4
2021,май,102.1
2021,июн,102.4
2021,июл,101.2
2021,авг,101.6
2021,сен,101.9
2021,окт,99.1
2021,ноя,98.2
2021,дек,102.8
2022,янв,105.8
2022,фев,100.6
2022,мар,103.8
2022,апр,99.2
2022,май,99.1
2022,июн,104.3
2022,июл,100.2
2022,авг,102.3
2022,сен,100.0
2022,окт,103.6
2022,ноя,105.7
2022,дек,104.3
2023,янв,102.5
2023,фев,104.2
2023,мар,101.5
2023,апр,96.9
2023,май,100.0
2023,июн,101.9
2023,июл,100.0
2023,авг,100.8
2023,сен,100.2
2023,окт,100.3
2023,ноя,99.1
2023,дек,100.8
2024,янв,101.4
2024,фев,101.4
2024,мар,100.5
2024,апр,102.4
2024,май,99.6
2024,июн,98.6
2024,июл,99.4
2024,авг,98.4
2024,сен,102.7
2024,окт,101.8
2024,ноя,100.2
2024,дек,99.3
2025,янв,102.6
2025,фев,100.4
2025,мар,102.0
2025,апр,105.2
2025,май,101.1
2025,июн,100.9
2025,июл,99.6
2025,авг,99.9
2025,сен,100.9
2025,окт,99.6
