year,month,value
2003,янв,101.7
2003,фев,101.1
2003,мар,101.7
2003,апр,102.5
2003,май,103.4
2003,июн,96.1
2003,июл,99.1
2003,авг,98.5
2003,сен,97.9
2003,окт,97.3
2003,ноя,96.8
2003,дек,96.2
2004,янв,102.7
2004,фев,100.7
2004,мар,100.3
2004,апр,98.5
2004,май,99.8
2004,июн,100.0
2004,июл,98.0
2004,авг,98.4
2004,сен,100.3
2004,окт,100.3
2004,ноя,101.9
2004,дек,102.0
2005,янв,102.5
2005,фев,99.9
2005,мар,101.1
2005,апр,101.2
2005,май,104.4
2005,июн,100.2
2005,июл,96.0
2005,авг,98.0
2005,сен,100.6
2005,окт,101.4
2005,ноя,101.9
2005,дек,102.6
2006,янв,102.8
2006,фев,102.9
2006,мар,101.0
2006,апр,100.6
2006,май,100.0
2006,июн,100.1
2006,июл,97.1
2006,авг,98.0
2006,сен,100.5
2006,окт,100.6
2006,ноя,100.9
2006,дек,102.4
2007,янв,103.2
2007,фев,99.3
2007,мар,100.3
2007,апр,100.2
2007,май,102.3
2007,июн,101.4
2007,июл,99.2
2007,авг,103.3
2007,сен,106.4
2007,окт,116.1
2007,ноя,98.3
2007,дек,98.9
2008,янв,101.6
2008,фев,101.9
2008,мар,103.4
2008,апр,101.5
2008,май,104.8
2008,июн,105.7
2008,июл,98.5
2008,авг,97.8
2008,сен,100.1
2008,окт,101.2
2008,ноя,101.6
2008,дек,101.2
2009,янв,100.2
2009,фев,98.6
2009,мар,99.0
2009,апр,100.3
2009,май,100.4
2009,июн,98.0
2009,июл,97.0
2009,авг,97.6
2009,сен,99.5
2009,окт,99.9
2009,ноя,100.6
2009,дек,101.4
2010,янв,102.0
2010,фев,101.9
2010,мар,101.5
2010,апр,99.2
2010,май,98.9
2010,июн,99.9
2010,июл,100.1
2010,авг,103.2
2010,сен,105.0
2010,окт,103.8
2010,ноя,104.7
2010,дек,104.2
2011,янв,104.9
2011,фев,103.0
2011,мар,103.9
2011,апр,100.2
2011,май,98.9
2011,июн,100.6
2011,июл,98.3
2011,авг,97.3
2011,сен,97.0
2011,окт,98.6
2011,ноя,100.3
2011,дек,100.9
2012,янв,100.7
2012,фев,99.3
2012,мар,99.4
2012,апр,98.7
2012,май,100.1
2012,июн,98.7
2012,июл,99.7
2012,авг,101.4
2012,сен,100.9
2012,окт,102.6
2012,ноя,101.2
2012,дек,101.8
2013,янв,101.4
2013,фев,100.2
2013,мар,99.5
2013,апр,99.6
2013,май,100.3
2013,июн,99.7
2013,июл,99.1
2013,авг,99.3
2013,сен,100.4
2013,окт,100.2
2013,ноя,100.7
2013,дек,101.6
2014,янв,100.8
2014,фев,100.9
2014,мар,102.8
2014,апр,101.9
2014,май,102.0
2014,июн,100.7
2014,июл,97.3
2014,авг,98.6
2014,сен,100.0
2014,окт,103.2
2014,ноя,103.1
2014,дек,102.0
2015,янв,100.8
2015,фев,99.9
2015,мар,99.7
2015,апр,100.0
2015,май,98.2
2015,июн,97.9
2015,июл,98.4
2015,авг,99.6
2015,сен,100.2
2015,окт,100.1
2015,ноя,100.4
2015,дек,100.6
2016,янв,99.7
2016,фев,99.0
2016,мар,97.7
2016,апр,98.3
2016,май,99.9
2016,июн,100.4
2016,июл,98.8
2016,авг,98.2
2016,сен,99.6
2016,окт,101.1
2016,ноя,100.9
2016,дек,101.3
2017,янв,101.3
2017,фев,100.9
2017,мар,101.1
2017,апр,100.8
2017,май,100.4
2017,июн,100.5
2017,июл,97.7
2017,авг,98.6
2017,сен,98.8
2017,окт,100.6
2017,ноя,100.6
2017,дек,101.5
2018,янв,100.6
2018,фев,100.4
2018,мар,99.5
2018,апр,98.7
2018,май,98.9
2018,июн,99.5
2018,июл,98.4
2018,авг,98.5
2018,сен,100.0
2018,окт,100.5
2018,ноя,101.0
2018,дек,101.4
2019,янв,100.6
2019,фев,99.7
2019,мар,100.1
2019,апр,99.7
2019,май,100.3
2019,июн,101.1
2019,июл,99.8
2019,авг,99.4
2019,сен,100.5
2019,окт,100.9
2019,ноя,101.9
2019,дек,101.6
2020,янв,101.0
2020,фев,101.0
2020,мар,103.2
2020,апр,104.7
2020,май,97.7
2020,июн,98.8
2020,июл,98.6
2020,авг,99.4
2020,сен,101.1
2020,окт,104.0
2020,ноя,103.3
2020,дек,103.9
2021,янв,101.7
2021,фев,101.2
2021,мар,101.3
2021,апр,101.2
2021,май,101.2
2021,июн,104.0
2021,июл,99.1
2021,авг,97.8
2021,сен,99.8
2021,окт,101.9
2021,ноя,101.5
2021,дек,102.1
2022,янв,100.9
2022,фев,100.8
2022,мар,104.7
2022,апр,103.1
2022,май,100.5
2022,июн,101.9
2022,июл,100.1
2022,авг,100.2
2022,сен,99.6
2022,окт,100.6
2022,ноя,101.5
2022,дек,100.9
2023,янв,101.8
2023,фев,102.2
2023,мар,99.7
2023,апр,99.6
2023,май,100.0
2023,июн,100.4
2023,июл,100.2
2023,авг,99.2
2023,сен,99.7
2023,окт,100.5
2023,ноя,99.9
2023,дек,100.3
2024,янв,100.4
2024,фев,100.6
2024,мар,100.2
2024,апр,99.8
2024,май,99.5
2024,июн,101.0
2024,июл,99.4
2024,авг,98.8
2024,сен,101.7
2024,окт,101.0
2024,ноя,101.4
2024,дек,101.5
2025,янв,101.1
2025,фев,102.1
2025,мар,100.2
2025,апр,100.5
2025,май,101.0
2025,июн,101.1
2025,июл,100.6
2025,авг,100.2
2025,сен,99.5
2025,окт,100.9
