year,month,value
2003,янв,109.2
2003,фев,107.6
2003,мар,106.3
2003,апр,103.2
2003,май,111.9
2003,июн,115.3
2003,июл,89.2
2003,авг,72.6
2003,сен,93.4
2003,окт,112.2
2003,ноя,106.4
2003,дек,108.1
2004,янв,114.0
2004,фев,104.3
2004,мар,103.5
2004,апр,103.9
2004,май,108.0
2004,июн,126.7
2004,июл,80.6
2004,авг,74.1
2004,сен,94.5
2004,окт,100.1
2004,ноя,118.1
2004,дек,108.9
2005,янв,108.0
2005,фев,104.3
2005,мар,103.7
2005,апр,105.7
2005,май,120.0
2005,июн,121.8
2005,июл,83.9
2005,авг,86.1
2005,сен,100.1
2005,окт,112.9
2005,ноя,117.5
2005,дек,106.4
2006,янв,103.2
2006,фев,103.3
2006,мар,105.8
2006,апр,101.6
2006,май,95.6
2006,июн,107.3
2006,июл,76.8
2006,авг,87.8
2006,сен,102.7
2006,окт,103.5
2006,ноя,102.7
2006,дек,106.1
2007,янв,113.5
2007,фев,100.6
2007,мар,100.6
2007,апр,104.1
2007,май,116.1
2007,июн,107.7
2007,июл,93.6
2007,авг,91.2
2007,сен,100.5
2007,окт,110.8
2007,ноя,104.0
2007,дек,104.8
2008,янв,101.9
2008,фев,102.3
2008,мар,102.8
2008,апр,101.3
2008,май,106.9
2008,июн,113.7
2008,июл,92.6
2008,авг,88.6
2008,сен,104.0
2008,окт,110.1
2008,ноя,105.7
2008,дек,110.2
2009,янв,104.2
2009,фев,100.5
2009,мар,99.8
2009,апр,102.0
2009,май,103.9
2009,июн,93.6
2009,июл,89.8
2009,авг,90.2
2009,сен,96.1
2009,окт,99.2
2009,ноя,105.8
2009,дек,106.7
2010,янв,102.1
2010,фев,101.6
2010,мар,101.4
2010,апр,100.8
2010,май,100.4
2010,июн,109.5
2010,июл,98.1
2010,авг,88.8
2010,сен,104.9
2010,окт,116.2
2010,ноя,108.7
2010,дек,103.3
2011,янв,101.5
2011,фев,101.5
2011,мар,101.8
2011,апр,102.8
2011,май,105.6
2011,июн,105.2
2011,июл,85.4
2011,авг,83.0
2011,сен,90.4
2011,окт,102.9
2011,ноя,108.3
2011,дек,102.2
2012,янв,100.0
2012,фев,100.8
2012,мар,100.8
2012,апр,100.5
2012,май,101.6
2012,июн,110.4
2012,июл,105.1
2012,авг,84.0
2012,сен,107.9
2012,окт,112.3
2012,ноя,100.7
2012,дек,99.7
2013,янв,100.6
2013,фев,100.2
2013,мар,101.6
2013,апр,102.3
2013,май,103.6
2013,июн,103.9
2013,июл,99.8
2013,авг,103.6
2013,сен,99.7
2013,окт,106.5
2013,ноя,100.3
2013,дек,100.9
2014,янв,100.1
2014,фев,100.1
2014,мар,101.1
2014,апр,101.0
2014,май,102.5
2014,июн,105.9
2014,июл,104.8
2014,авг,89.4
2014,сен,100.2
2014,окт,113.4
2014,ноя,100.9
2014,дек,95.8
2015,янв,102.6
2015,фев,101.6
2015,мар,100.6
2015,апр,102.1
2015,май,102.3
2015,июн,112.0
2015,июл,91.3
2015,авг,83.7
2015,сен,95.5
2015,окт,96.8
2015,ноя,99.8
2015,дек,102.3
2016,янв,100.5
2016,фев,100.0
2016,мар,100.5
2016,апр,103.0
2016,май,102.4
2016,июн,94.5
2016,июл,105.0
2016,авг,85.3
2016,сен,98.8
2016,окт,116.7
2016,ноя,101.0
2016,дек,101.2
2017,янв,100.0
2017,фев,100.4
2017,мар,100.5
2017,апр,100.7
2017,май,100.8
2017,июн,103.9
2017,июл,92.0
2017,авг,84.9
2017,сен,100.4
2017,окт,103.2
2017,ноя,101.5
2017,дек,100.3
2018,янв,100.9
2018,фев,101.1
2018,мар,100.8
2018,апр,101.6
2018,май,103.1
2018,июн,96.2
2018,июл,111.6
2018,авг,87.8
2018,сен,87.9
2018,окт,101.4
2018,ноя,101.4
2018,дек,100.1
2019,янв,100.2
2019,фев,99.3
2019,мар,98.4
2019,апр,98.7
2019,май,100.2
2019,июн,105.1
2019,июл,122.6
2019,авг,87.7
2019,сен,97.8
2019,окт,108.0
2019,ноя,101.6
2019,дек,102.2
2020,янв,102.2
2020,фев,103.7
2020,мар,101.4
2020,апр,101.8
2020,май,99.8
2020,июн,97.5
2020,июл,106.3
2020,авг,95.5
2020,сен,104.5
2020,окт,102.2
2020,ноя,99.6
2020,дек,101.0
2021,янв,100.2
2021,фев,101.1
2021,мар,100.6
2021,апр,102.8
2021,май,104.0
2021,июн,108.0
2021,июл,99.9
2021,авг,82.6
2021,сен,103.1
2021,окт,107.9
2021,ноя,98.9
2021,дек,101.0
2022,янв,100.2
2022,фев,99.8
2022,мар,100.8
2022,апр,100.7
2022,май,103.9
2022,июн,112.7
2022,июл,100.8
2022,авг,91.6
2022,сен,91.7
2022,окт,103.4
2022,ноя,100.7
2022,дек,100.0
2023,янв,100.7
2023,фев,102.6
2023,мар,102.3
2023,апр,99.0
2023,май,100.4
2023,июн,105.0
2023,июл,119.6
2023,авг,86.7
2023,сен,99.6
2023,окт,104.9
2023,ноя,101.2
2023,дек,100.2
2024,янв,100.1
2024,фев,101.0
2024,мар,104.0
2024,апр,103.5
2024,май,103.0
2024,июн,103.5
2024,июл,102.9
2024,авг,72.0
2024,сен,95.3
2024,окт,105.9
2024,ноя,100.0
2024,дек,100.2
2025,янв,100.4
2025,фев,99.9
2025,мар,99.9
2025,апр,102.8
2025,май,104.2
2025,июн,111.0
2025,июл,107.7
2025,авг,103.5
2025,сен,103.7
2025,окт,100.9
