year,month,value
2003,янв,101.5
2003,фев,101.0
2003,мар,101.8
2003,апр,101.0
2003,май,100.9
2003,июн,100.2
2003,июл,100.4
2003,авг,101.8
2003,сен,100.2
2003,окт,99.9
2003,ноя,100.2
2003,дек,100.0
2004,янв,101.1
2004,фев,100.6
2004,мар,100.0
2004,апр,99.9
2004,май,101.5
2004,июн,102.3
2004,июл,100.2
2004,авг,100.2
2004,сен,100.3
2004,окт,100.7
2004,ноя,100.8
2004,дек,101.1
2005,янв,100.5
2005,фев,100.0
2005,мар,101.0
2005,апр,100.9
2005,май,101.7
2005,июн,104.0
2005,июл,100.5
2005,авг,100.4
2005,сен,101.4
2005,окт,100.2
2005,ноя,99.8
2005,дек,100.7
2006,янв,100.1
2006,фев,98.8
2006,мар,100.8
2006,апр,100.7
2006,май,102.8
2006,июн,103.4
2006,июл,102.0
2006,авг,99.9
2006,сен,99.7
2006,окт,100.2
2006,ноя,100.9
2006,дек,100.8
2007,янв,100.6
2007,фев,100.0
2007,мар,100.5
2007,апр,100.6
2007,май,105.6
2007,июн,102.3
2007,июл,103.8
2007,авг,101.9
2007,сен,101.1
2007,окт,100.9
2007,ноя,100.8
2007,дек,99.7
2008,янв,101.2
2008,фев,100.6
2008,мар,101.3
2008,апр,102.6
2008,май,106.6
2008,июн,101.3
2008,июл,100.5
2008,авг,99.0
2008,сен,98.6
2008,окт,99.6
2008,ноя,99.7
2008,дек,100.7
2009,янв,102.9
2009,фев,101.2
2009,мар,100.0
2009,апр,98.9
2009,май,100.4
2009,июн,100.4
2009,июл,99.2
2009,авг,98.9
2009,сен,100.4
2009,окт,100.3
2009,ноя,99.8
2009,дек,100.1
2010,янв,101.1
2010,фев,101.3
2010,мар,102.3
2010,апр,100.9
2010,май,100.6
2010,июн,100.8
2010,июл,101.1
2010,авг,102.3
2010,сен,103.7
2010,окт,103.8
2010,ноя,102.2
2010,дек,105.0
2011,янв,104.9
2011,фев,103.1
2011,мар,100.9
2011,апр,100.1
2011,май,101.7
2011,июн,103.5
2011,июл,104.1
2011,авг,101.7
2011,сен,101.9
2011,окт,98.8
2011,ноя,100.3
2011,дек,101.3
2012,янв,101.9
2012,фев,99.8
2012,мар,98.6
2012,апр,99.3
2012,май,99.8
2012,июн,99.4
2012,июл,99.6
2012,авг,100.0
2012,сен,99.8
2012,окт,101.2
2012,ноя,99.9
2012,дек,99.5
2013,янв,99.7
2013,фев,100.0
2013,мар,100.2
2013,апр,100.6
2013,май,101.0
2013,июн,100.5
2013,июл,100.0
2013,авг,100.9
2013,сен,102.3
2013,окт,100.7
2013,ноя,99.6
2013,дек,101.8
2014,янв,100.5
2014,фев,100.8
2014,мар,100.6
2014,апр,101.2
2014,май,101.4
2014,июн,100.4
2014,июл,100.0
2014,авг,101.2
2014,сен,101.1
2014,окт,101.7
2014,ноя,100.5
2014,дек,101.1
2015,янв,100.8
2015,фев,99.7
2015,мар,98.8
2015,апр,99.1
2015,май,98.5
2015,июн,98.4
2015,июл,100.7
2015,авг,101.0
2015,сен,100.4
2015,окт,99.5
2015,ноя,98.2
2015,дек,97.8
2016,янв,97.3
2016,фев,98.7
2016,мар,96.2
2016,апр,97.4
2016,май,102.3
2016,июн,101.6
2016,июл,99.5
2016,авг,99.0
2016,сен,100.7
2016,окт,100.3
2016,ноя,99.4
2016,дек,100.7
2017,янв,100.6
2017,фев,100.0
2017,мар,100.5
2017,апр,100.3
2017,май,100.7
2017,июн,101.1
2017,июл,101.2
2017,авг,101.1
2017,сен,100.4
2017,окт,101.9
2017,ноя,99.7
2017,дек,100.4
2018,янв,100.7
2018,фев,99.8
2018,мар,100.0
2018,апр,99.7
2018,май,100.0
2018,июн,100.4
2018,июл,99.9
2018,авг,99.7
2018,сен,100.0
2018,окт,99.8
2018,ноя,100.0
2018,дек,100.3
2019,янв,99.8
2019,фев,99.3
2019,мар,99.9
2019,апр,100.2
2019,май,100.6
2019,июн,100.4
2019,июл,100.3
2019,авг,101.5
2019,сен,101.4
2019,окт,101.3
2019,ноя,100.2
2019,дек,100.6
2020,янв,100.3
2020,фев,101.0
2020,мар,102.0
2020,апр,101.5
2020,май,100.0
2020,июн,99.5
2020,июл,99.4
2020,авг,100.9
2020,сен,103.6
2020,окт,105.2
2020,ноя,104.6
2020,дек,103.4
2021,янв,101.3
2021,фев,101.2
2021,мар,101.1
2021,апр,100.8
2021,май,101.4
2021,июн,102.2
2021,июл,101.5
2021,авг,101.7
2021,сен,100.3
2021,окт,99.8
2021,ноя,99.9
2021,дек,100.5
2022,янв,99.3
2022,фев,99.4
2022,мар,101.5
2022,апр,101.2
2022,май,100.9
2022,июн,103.3
2022,июл,102.7
2022,авг,101.7
2022,сен,101.5
2022,окт,100.2
2022,ноя,100.4
2022,дек,100.4
2023,янв,100.4
2023,фев,100.3
2023,мар,100.1
2023,апр,100.1
2023,май,101.6
2023,июн,100.9
2023,июл,99.6
2023,авг,100.2
2023,сен,99.8
2023,окт,100.0
2023,ноя,99.2
2023,дек,99.5
2024,янв,99.9
2024,фев,100.6
2024,мар,100.1
2024,апр,100.4
2024,май,100.4
2024,июн,100.3
2024,июл,101.1
2024,авг,101.6
2024,сен,105.3
2024,окт,100.9
2024,ноя,100.2
2024,дек,100.5
2025,янв,100.6
2025,фев,103.0
2025,мар,100.6
2025,апр,101.4
2025,май,100.5
2025,июн,100.5
2025,июл,101.0
2025,авг,102.0
2025,сен,99.6
2025,окт,102.0
