year,month,value
2003,янв,111.7
2003,фев,103.7
2003,мар,109.9
2003,апр,120.6
2003,май,120.9
2003,июн,76.5
2003,июл,66.6
2003,авг,72.2
2003,сен,88.2
2003,окт,128.5
2003,ноя,107.0
2003,дек,105.2
2004,янв,105.3
2004,фев,95.1
2004,мар,98.3
2004,апр,83.4
2004,май,89.6
2004,июн,82.3
2004,июл,87.3
2004,авг,96.3
2004,сен,103.4
2004,окт,99.1
2004,ноя,102.0
2004,дек,109.9
2005,янв,121.1
2005,фев,97.8
2005,мар,106.1
2005,апр,106.5
2005,май,131.1
2005,июн,88.0
2005,июл,70.7
2005,авг,85.9
2005,сен,94.0
2005,окт,101.1
2005,ноя,109.4
2005,дек,117.0
2006,янв,118.9
2006,фев,110.3
2006,мар,102.2
2006,апр,106.7
2006,май,100.3
2006,июн,89.8
2006,июл,88.4
2006,авг,88.0
2006,сен,103.5
2006,окт,99.0
2006,ноя,103.5
2006,дек,119.4
2007,янв,117.4
2007,фев,94.7
2007,мар,100.8
2007,апр,98.5
2007,май,102.4
2007,июн,100.2
2007,июл,83.9
2007,авг,82.5
2007,сен,98.9
2007,окт,115.2
2007,ноя,104.5
2007,дек,100.9
2008,янв,111.4
2008,фев,111.3
2008,мар,108.8
2008,апр,98.0
2008,май,95.6
2008,июн,101.8
2008,июл,89.4
2008,авг,84.4
2008,сен,107.1
2008,окт,111.9
2008,ноя,112.6
2008,дек,100.6
2009,янв,105.5
2009,фев,97.7
2009,мар,98.6
2009,апр,109.8
2009,май,98.5
2009,июн,85.1
2009,июл,82.1
2009,авг,89.7
2009,сен,99.0
2009,окт,98.2
2009,ноя,104.4
2009,дек,108.6
2010,янв,105.8
2010,фев,112.3
2010,мар,108.0
2010,апр,95.3
2010,май,90.5
2010,июн,92.7
2010,июл,89.6
2010,авг,92.3
2010,сен,105.3
2010,окт,112.4
2010,ноя,123.9
2010,дек,110.8
2011,янв,122.5
2011,фев,102.3
2011,мар,106.5
2011,апр,96.8
2011,май,89.0
2011,июн,100.3
2011,июл,85.7
2011,авг,78.6
2011,сен,88.2
2011,окт,102.2
2011,ноя,109.4
2011,дек,110.2
2012,янв,105.1
2012,фев,97.6
2012,мар,101.3
2012,апр,92.3
2012,май,103.2
2012,июн,89.3
2012,июл,91.1
2012,авг,95.9
2012,сен,100.6
2012,окт,97.4
2012,ноя,113.2
2012,дек,120.1
2013,янв,110.5
2013,фев,100.4
2013,мар,95.6
2013,апр,97.9
2013,май,100.8
2013,июн,98.0
2013,июл,94.4
2013,авг,90.1
2013,сен,95.5
2013,окт,95.3
2013,ноя,108.0
2013,дек,108.8
2014,янв,104.9
2014,фев,105.3
2014,мар,109.5
2014,апр,112.5
2014,май,110.9
2014,июн,100.7
2014,июл,77.5
2014,авг,87.6
2014,сен,94.5
2014,окт,116.5
2014,ноя,110.6
2014,дек,103.8
2015,янв,102.9
2015,фев,100.5
2015,мар,101.3
2015,апр,103.7
2015,май,87.8
2015,июн,84.0
2015,июл,83.3
2015,авг,96.8
2015,сен,99.3
2015,окт,99.2
2015,ноя,107.4
2015,дек,109.0
2016,янв,103.0
2016,фев,98.2
2016,мар,95.4
2016,апр,95.2
2016,май,99.1
2016,июн,108.8
2016,июл,90.8
2016,авг,89.7
2016,сен,92.3
2016,окт,107.2
2016,ноя,112.4
2016,дек,113.0
2017,янв,109.5
2017,фев,109.0
2017,мар,110.5
2017,апр,105.5
2017,май,104.3
2017,июн,102.7
2017,июл,83.1
2017,авг,91.3
2017,сен,92.8
2017,окт,101.6
2017,ноя,102.4
2017,дек,111.5
2018,янв,103.2
2018,фев,104.6
2018,мар,98.3
2018,апр,92.3
2018,май,90.7
2018,июн,94.8
2018,июл,83.0
2018,авг,92.4
2018,сен,104.7
2018,окт,101.1
2018,ноя,110.0
2018,дек,107.9
2019,янв,105.1
2019,фев,101.0
2019,мар,102.0
2019,апр,96.6
2019,май,101.6
2019,июн,107.3
2019,июл,90.4
2019,авг,94.0
2019,сен,101.8
2019,окт,96.9
2019,ноя,102.0
2019,дек,108.6
2020,янв,107.5
2020,фев,104.4
2020,мар,104.6
2020,апр,114.3
2020,май,86.8
2020,июн,92.9
2020,июл,85.0
2020,авг,91.8
2020,сен,97.6
2020,окт,108.6
2020,ноя,115.6
2020,дек,116.2
2021,янв,106.4
2021,фев,103.2
2021,мар,103.3
2021,апр,101.4
2021,май,103.3
2021,июн,121.4
2021,июл,88.0
2021,авг,83.0
2021,сен,93.6
2021,окт,108.5
2021,ноя,107.6
2021,дек,107.6
2022,янв,103.7
2022,фев,102.3
2022,мар,105.8
2022,апр,106.7
2022,май,95.8
2022,июн,96.1
2022,июл,87.5
2022,авг,96.5
2022,сен,92.5
2022,окт,101.6
2022,ноя,109.5
2022,дек,105.8
2023,янв,111.9
2023,фев,115.6
2023,мар,97.2
2023,апр,99.4
2023,май,97.0
2023,июн,97.6
2023,июл,95.5
2023,авг,96.0
2023,сен,94.7
2023,окт,92.9
2023,ноя,102.9
2023,дек,105.5
2024,янв,103.1
2024,фев,101.8
2024,мар,100.6
2024,апр,96.1
2024,май,93.8
2024,июн,109.2
2024,июл,88.7
2024,авг,93.3
2024,сен,102.9
2024,окт,103.7
2024,ноя,112.4
2024,дек,110.0
2025,янв,107.8
2025,фев,110.6
2025,мар,102.0
2025,апр,99.8
2025,май,100.2
2025,июн,101.9
2025,июл,96.8
2025,авг,94.4
2025,сен,93.9
2025,окт,98.6
